,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,41,0.2944738692751267,2.807741696494792,0.3339368259935007,3.130447881193761
1,38,0.4491974258281645,4.274843824072938,0.42527665926782365,4.026915840041527
2,26,0.3301239305817943,3.1158959026860242,0.3259149349484937,3.1782054858380335
3,30,0.36169215604336763,3.4604393814345684,0.3647396310085394,3.376771915544409
4,61,0.23836143425978498,2.2584821704171376,0.23235198224812895,2.238021366949384
5,49,0.32711723255792524,3.1189887773599136,0.34703235448097763,3.2532102308830178
6,23,0.3235481784459977,3.0790869512885823,0.3254179119069381,3.081360134711804
7,24,0.33759153463004893,3.1863793626879433,0.3320271678588007,3.2378097877069476
8,15,0.38974393062378776,3.7288208319451286,0.39293490514916213,3.6378047229908286
9,31,0.35484792954495775,3.362195417960423,0.3625494766998848,3.492087597359819
10,63,0.36647670189437,3.49427240941826,0.39757361779794814,3.727002811838272
11,15,0.36363989289583865,3.4606247964719605,0.34014245416387073,3.2207858265752773
12,43,0.24257860586484392,2.2895937376047915,0.2295801261431061,2.2387830016526213
13,23,0.3493019371758724,3.3418976862463174,0.35261873238003,3.264556223581522
14,58,0.33826692850139434,3.2050899057333813,0.3385651245925462,3.2610695876604696
15,20,0.37358825134029605,3.5620794238578175,0.4158091882600412,3.897949824781761
16,59,0.26504425364242856,2.5223269895201543,0.2673229481107519,2.5312628631139003
17,57,0.26625297591807506,2.51304579852486,0.2406467103885104,2.3467003597933003
18,15,0.3580607817485705,3.4256967130949803,0.3635737350695136,3.365978011266819
19,17,0.3588730702139347,3.400333753813855,0.36266605668739793,3.4932104993488133
20,53,0.31707236040845926,3.023213194828805,0.3463383880660352,3.2467047318659117
21,52,0.42144582095143474,4.010742184361443,0.4046357559070268,3.831468526193028
22,37,0.3572859278046017,3.3722661564454532,0.3491608676519019,3.404891479387453
23,37,0.36220904275677324,3.465384623151656,0.3735194466563841,3.4580557475791163
24,30,0.3745846023657746,3.549201020639379,0.35428222164870454,3.4124571450110075
25,24,0.45813652325033244,4.368228061062009,0.4707723380918126,4.413194812880057
26,25,0.3093266818711733,2.9437462896855506,0.2961510258578124,2.8042339758889336
27,33,0.3523477682447042,3.325657020560098,0.3375801458580012,3.291960436380308
28,62,0.20218609918529723,1.9343873742054511,0.19648471410739288,1.819062169353576
29,47,0.3062735211023952,2.9019513531150896,0.30476994662868007,2.9355534046213285
