,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,11,0.8526351036916171,0.693310873367503,0.8235582302163451,0.6453373271361749
1,42,0.8056169945738679,0.6601597046387881,0.8388484247425111,0.6347852001252243
2,14,0.8291311111447703,0.6589996962123045,0.8389044933237836,0.7164102471842525
3,12,0.8305497856254729,0.6717048608683335,0.8170664272656597,0.6547493576975361
4,38,0.8095471629138994,0.64751419145446,0.845377963840194,0.7030178600230798
5,12,0.8313409006693696,0.6759957259719777,0.7948205574165838,0.6228185879963327
6,32,0.8180438950296429,0.6703428797576291,0.8549791980284717,0.6469919061837667
7,17,0.8216927018442254,0.6530875920788655,0.8371088126126974,0.7148767662310199
8,22,0.8557764723425532,0.6921068745522025,0.8286562668306661,0.6640367788395359
9,20,0.8011941841145152,0.640833083099943,0.862726354765405,0.717444813628167
10,19,0.8538525802298916,0.6943008510477567,0.8491094685539242,0.6653591874598354
11,11,0.817152745139246,0.66961263045505,0.8363108735758676,0.6328649486499471
12,11,0.8133544759882291,0.6464603069219204,0.8171482846141489,0.6978308129536555
13,31,0.8448002949622997,0.6832299212043463,1.120840069899285,0.8981758292335382
14,31,0.8073030459271063,0.6457192403227653,0.8529209622810855,0.7092906313146146
15,24,0.8313578230663563,0.676009486233294,0.7890594256719693,0.6183041854623769
16,68,0.7966068161120985,0.6527763490341676,0.820634896542761,0.6210024024203664
17,3,0.9040313709674731,0.7185309908482447,0.9631500929365622,0.8225138876326197
18,15,0.8305081162436837,0.6716711608701135,0.8029013098854294,0.6433982591859331
19,14,0.8222724541566228,0.6576924825380777,0.8565847902228996,0.7123374773282561
20,34,0.8252692399162967,0.671058621692224,0.7933896546818032,0.6216973376555857
21,11,0.8268054341609643,0.6775224888325019,0.8444711793984235,0.6390401302582862
22,8,0.8521470749332684,0.6772929588106793,0.8885890128462145,0.7588399864401102
23,17,0.839160525407296,0.6786687730470202,0.8308374722027,0.6657846695479144
24,40,0.8054697183897571,0.6442528580631511,0.8513936063121229,0.7080204792989222
25,17,0.8296090705692637,0.67458750734008,0.8035857242244075,0.6296869418201756
26,26,0.8235045778613421,0.6748176150097168,0.8455347719543923,0.6398449870042467
27,21,0.8124662399531052,0.6457543301838103,0.8232673224007703,0.7030563677195795
28,32,0.8288052129021365,0.6702939424638203,0.8113667134510784,0.6501819396338104
29,54,0.8120610515991888,0.6495249187771309,0.8632452570414825,0.7178763337094712
