,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,73,0.1341247717021891,0.030200996741091002,0.4023059344487896,0.0819162331906841
1,46,0.12225159945375119,0.027527503755189187,0.3668735933162438,0.07470161448842144
2,42,0.2119613460448836,0.047727528926219315,0.45960688524689963,0.09358366746320386
3,112,0.09728277853651653,0.02190525165678743,0.2479109495704744,0.050478825730879064
4,102,0.09925064479768018,0.022348357891273842,0.5148451233257036,0.10483109884326923
5,47,0.15626411397959,0.035186132562640145,0.2702034018225791,0.055017942757769576
6,30,0.11494066749453269,0.025881294561521703,0.3817545197203449,0.07773162059330758
7,49,0.18151221677187349,0.040871270814666995,0.42789281129653023,0.08712615029855027
8,125,0.07101393206963694,0.01599027162386707,0.3802059573181337,0.07741630732549894
9,74,0.08031260762162203,0.018084062848843153,0.38971220685900765,0.0793519391108615
10,40,0.20118269104009198,0.04530048938280183,0.4489002533382763,0.09140361770252789
11,93,0.15663549299089252,0.03526975631213633,0.3865455699491887,0.078707158745167
12,53,0.09151860523483174,0.02060732751578086,0.35944198293557084,0.07318841401883452
13,50,0.203720317444417,0.045871889026540234,0.41058647389303066,0.08360228985049568
14,88,0.1323977259881488,0.029812116288065828,0.2264805853113177,0.04611524427285351
15,85,0.09678552333546502,0.021793284251245132,0.14831912445038764,0.030200260410681603
16,48,0.15712154377597515,0.03537920080915198,0.4547684583053629,0.09259848261833684
17,53,0.1845387496152412,0.04155275796561855,0.48646004855326114,0.0990514217242125
18,54,0.10955795044851534,0.02466926327228349,0.3831229108032571,0.07801024795981032
19,49,0.15741046811718942,0.03544425816564694,0.4689439030254678,0.09548484082447356
20,76,0.14532734507001707,0.03272349036758404,0.3441016450700107,0.0700648640380448
21,135,0.13996779438608717,0.0315166754691514,0.22814735063819958,0.04645462563787879
22,76,0.13064801691007044,0.029418132704763,0.2743812086453438,0.05586861427070195
23,51,0.16928951494193917,0.0381190739352359,0.2848763005037914,0.05800559093054707
24,137,0.13274477242766597,0.029890261050258878,0.29388079318704774,0.05983905660739834
25,58,0.1591342755430798,0.03583240945038634,0.49529213103596453,0.10084978179365507
26,47,0.111994345022232,0.025217868452721073,0.3883607202074831,0.07907675377000375
27,49,0.10975626503914183,0.024713917948889542,0.24446028709736792,0.04977621299861445
28,46,0.24794420145664767,0.055829821181663276,0.4023347138578611,0.08192209316087773
29,95,0.17003369700118035,0.03828664208585184,0.46148237756296057,0.09396554914267817
