,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,34,2.224617275857348e-16,6.693065852540756e-16,2.8861016564700324e-16,8.655491417235496e-16
1,29,2.1018705269979414e-16,6.323765441986014e-16,2.921930780651396e-16,8.762943861311275e-16
2,29,2.262048807254357e-16,6.805683742961964e-16,2.9200406415354847e-16,8.757275286589218e-16
3,56,0.10359580716761785,0.31168217874814436,0.19333324471243676,0.5798112608138347
4,29,2.2998579484125824e-16,6.919437724083271e-16,2.928723743590814e-16,8.783316127924934e-16
5,29,2.262048807254357e-16,6.805683742961964e-16,2.9103066912564945e-16,8.728082925015008e-16
6,29,2.104298564611878e-16,6.33107052579476e-16,2.8992800460507614e-16,8.695013738860333e-16
7,29,2.262299616525253e-16,6.806438337014951e-16,2.8921273340181417e-16,8.673562575672957e-16
8,51,0.03526661824738577,0.1061044526120566,0.04580584845287816,0.1373728909563077
9,53,0.010855082897863924,0.03265900407169681,0.024791997930582045,0.07435182500353525
10,29,2.258032070172994e-16,6.79359883914967e-16,2.8922630377390534e-16,8.673969554543228e-16
11,29,2.317797063059239e-16,6.973410008201257e-16,2.915259230542325e-16,8.742935714827845e-16
12,29,2.4061942324679185e-16,7.239365003000295e-16,2.903788370193863e-16,8.708534316293652e-16
13,29,2.104298564611878e-16,6.33107052579476e-16,2.8992800460507614e-16,8.695013738860333e-16
14,44,0.10304824280685831,0.31003475635111405,0.22548338921825326,0.6762303523621663
15,50,0.0032019840186403746,0.009633607599888731,0.0038347543833985474,0.011500524792085392
16,29,2.3020771749968634e-16,6.926114571301666e-16,2.897645462801051e-16,8.690111582605059e-16
17,29,2.262299616525253e-16,6.806438337014951e-16,2.8921273340181417e-16,8.673562575672957e-16
18,29,2.0237566874256798e-16,6.088749253841714e-16,2.8787165496883593e-16,8.633343296353877e-16
19,29,2.1018705269979414e-16,6.323765441986014e-16,2.921930780651396e-16,8.762943861311275e-16
20,29,2.224617275857348e-16,6.693065852540756e-16,2.8861016564700324e-16,8.655491417235496e-16
21,62,0.02274229587925922,0.06842331290409746,0.02637949366103273,0.0791127646048866
22,70,0.11120672858757945,0.33458067855534557,0.27967516632091605,0.8387528541407544
23,29,2.1018705269979414e-16,6.323765441986014e-16,2.921930780651396e-16,8.762943861311275e-16
24,29,2.5381589959639795e-16,7.636399073480444e-16,2.902394936187774e-16,8.704355372681894e-16
25,29,2.3948492134054087e-16,7.205231958854783e-16,2.887431530444674e-16,8.659479742715201e-16
26,29,2.1018705269979414e-16,6.323765441986014e-16,2.921930780651396e-16,8.762943861311275e-16
27,63,0.15801334934392705,0.4754048097247847,0.2579539669633348,0.7736104312499555
28,29,2.1018705269979414e-16,6.323765441986014e-16,2.921930780651396e-16,8.762943861311275e-16
29,62,0.06139145286290797,0.18470459672045775,0.07560938050636795,0.22675443277205848
