,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,30,1.0025858687359719,7.8596376612621786,1.0037168787616915,7.74914693114611
1,25,1.002805071530567,7.861356072216869,1.00469169761935,7.756672972322749
2,13,1.0080962987705515,7.902835939614272,1.011048248407726,7.805748410901792
3,12,1.0037297706073185,7.868605126802222,1.0068520402224264,7.773351791427103
4,13,1.0080962987705515,7.902835939614272,1.011048248407726,7.805748410901792
5,13,1.0115270322248078,7.929730715117961,1.0108913222442724,7.804536870153923
6,9,1.0093972320631783,7.913034431953298,1.0128815229943628,7.819902117427592
7,17,1.0094831317251054,7.913707830850115,1.0105051011813604,7.801555069381478
8,13,1.0070054836793727,7.894284640778482,1.009515911184307,7.793918076528032
9,13,1.0089176601205578,7.9092748919288045,1.010460938635609,7.801214114613133
10,10,1.0102643220547263,7.919831867829655,1.01368647042231,7.826116674563172
11,8,1.0195414397512899,7.99255858970915,1.0243088176284763,7.908125985152614
12,20,1.0030074830245084,7.862942850018614,1.0045075243490955,7.7552510716232685
13,27,1.0010083442070934,7.847270868965006,1.001777626392642,7.734175028349299
14,11,1.0066836082201545,7.891761341218418,1.00948996799365,7.793717783397052
15,17,1.007695707421534,7.8996955573770045,1.0104996990994108,7.801513362872753
16,13,1.0080962987705515,7.902835939614272,1.011048248407726,7.805748410901792
17,20,1.003420431478503,7.866180104125604,1.0050255440707998,7.759250417476325
18,16,1.0027807580008292,7.861165469556324,1.0038528188337401,7.750196449804634
19,20,1.0033711570502903,7.86579382384399,1.0052051686157601,7.760637199965282
20,11,1.0081968535517802,7.903624225356382,1.0103298882081915,7.800202346216152
21,15,1.0086659755865677,7.90730184472777,1.0118110886726337,7.811637881750441
22,20,0.9999387549888765,7.8388859675179345,1.0001935682004894,7.721945384773296
23,18,1.0000000714512787,7.839366649714023,1.0000069401197913,7.72050453183019
24,9,1.010753687222511,7.923668180531408,1.013913984565508,7.827873186346387
25,16,1.002532773433297,7.859221427746872,1.0042285180487818,7.753097017166683
26,20,1.003420431478503,7.866180104125604,1.0050255440707998,7.759250417476325
27,12,1.007765026840176,7.900238977676857,1.0106176384098815,7.8024239075344335
28,20,1.003081363517026,7.863522026246338,1.0043716903328763,7.754202371763574
29,13,1.0080962987705515,7.902835939614272,1.011048248407726,7.805748410901792
