,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,26,0.04016271851919014,0.039177963009698814,0.05459265569072179,0.05152956528010014
1,19,0.0028141550201277437,0.0027451543458006477,0.004359639426045729,0.004115028323128486
2,23,0.001219118007515671,0.0011892262766048881,0.0016271883616934754,0.0015358899076447282
3,20,1.7330638083588207e-05,1.6905705659562696e-05,1.8193748192365705e-05,1.7172931474142346e-05
4,22,0.0035750211928413864,0.0034873647306794273,0.004222999988325484,0.0039860554652090974
5,11,2.84532243422824e-17,2.7755575615628914e-17,2.6301043203449e-17,2.482534153247273e-17
6,41,0.03496815086474679,0.034110761711561605,0.03776668653548674,0.03564766935443643
7,22,0.005181422029934885,0.005054377993099078,0.011564305381319629,0.010915454130710095
8,33,0.0029423415886521893,0.0028701978892946307,0.00456211654733804,0.0043061448370139265
9,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
10,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
11,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
12,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
13,11,4.0893777406652833e-17,3.989109695846874e-17,3.2876304004311257e-17,3.1031676915590914e-17
14,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
15,24,0.041397385289019706,0.04038235680626352,0.06715191924533066,0.0633841523673004
16,35,0.0036047034346952497,0.003516319189348353,0.004862058429411163,0.0045892575487325804
17,22,0.011139868204077684,0.010866728162929046,0.027744567937487346,0.026187872830409017
18,21,0.021944515876788757,0.021406455115227953,0.01759273894200894,0.016605643713392022
19,19,0.02185009874986461,0.02131435301550707,0.029950389929514883,0.028269930332399735
20,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
21,29,0.024065911893081805,0.023475836315495553,0.025163511155286283,0.023751634250927734
22,39,0.007589450111981039,0.007403363286005555,0.00979062063615774,0.009241287473936322
23,27,0.03636853971016737,0.035476814220155306,0.04008313176195016,0.03783414323090531
24,25,0.010295042549028301,0.010042616910416234,0.01770496181952938,0.016711569978013967
25,81,0.035091919925079554,0.03423149606038676,0.06943782401558753,0.06554179935465995
26,22,0.001753597565666909,0.0017106008530963703,0.0019036420626096036,0.0017968323155207382
27,30,0.0043517965196654355,0.004245094190815906,0.006080621700742408,0.005739449545138198
28,9,3.5990798278943505e-17,3.510833468576701e-17,3.94515648051735e-17,3.7238012298709096e-17
29,16,9.870750309152661e-05,9.628727953392383e-05,0.00010362338924189218,9.780927732725786e-05
