,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,3,1.0000626925260472,1.0556684116529693,1.0001244484722858,1.054538196504011
1,5,1.0009104251708532,1.056563280126053,1.0001238998434312,1.0545376180259187
2,3,1.0000000205912571,1.0556022550186408,1.000358632639314,1.0547851219236675
3,5,1.0000398125827603,1.0556442595337383,1.0001629579598306,1.0545788011763653
4,3,1.0001292117423177,1.0557386294862208,1.0009275850647317,1.0553850293307037
5,3,1.000319463529078,1.055939459697211,1.0013664528264277,1.0558477745606893
6,3,1.000032860628076,1.055636921034848,1.0006159380204176,1.0550564265127655
7,3,1.0002976042226566,1.0559163849645345,1.0013208141483037,1.0557996528200468
8,6,1.0000023355116126,1.055604698653738,1.0004248025289837,1.0548548919170135
9,3,1.0011846899324301,1.0568527946208843,1.00286366306154,1.057426443478877
10,3,1.000842395586422,1.0564914679447983,1.002315359500611,1.056848308378628
11,5,1.0001317143466326,1.0557412712409247,1.0000576501712701,1.0544677639093571
12,8,1.0000014312881678,1.0556037441534503,1.0003198304650263,1.0547442086403693
13,3,1.0000298915147383,1.055633786832178,1.0006028403499978,1.0550426162376902
14,3,1.0016346399609326,1.057327762875837,1.0035430239527923,1.0581427663426275
15,6,1.0002705089321993,1.0558877831154163,1.001262995609767,1.055738688549604
16,3,1.0000439655079172,1.0556486433708088,1.0001548589937443,1.054570261570016
17,3,1.0009737980833757,1.0566301767140416,1.002530076617117,1.0570747076043892
18,3,1.001498308939073,1.0571838515446963,1.00334096545139,1.0579297144489532
19,6,1.0001682680595394,1.0557798574219037,1.0010279581162995,1.0554908633765963
20,5,1.0000020788646837,1.0556044277366667,1.000311103340707,1.0547350066995964
21,3,1.0000119395643714,1.0556148367132787,1.0002440689939749,1.0546643252166923
22,3,1.0003113817045652,1.0559309285052063,1.001349677041172,1.0558300860556684
23,30,1.000642292235769,1.0562802384009615,1.0017197086221659,1.0562202499364404
24,5,1.0002487781595653,1.055864844063293,1.001215493453398,1.0556886019444984
25,3,1.0004771725984376,1.0561059377430357,1.0016758755734523,1.0561740320640463
26,7,1.000000370049288,1.0556026239073188,1.0003412285807194,1.0547667709628543
27,3,1.0000219240197896,1.0556253763267163,1.0005648817983546,1.0550025924759945
28,3,1.0000027954936894,1.0556051842118455,1.0003030303659288,1.0547264944986638
29,5,1.0000000001734466,1.0556022334655546,1.0003635900583028,1.054790349060838
