,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
1,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
2,12,1.018497556762304,15248214909984.959,1.0184194374875035,15805360551101.398
3,3,1.0184975567639152,15248214910009.08,1.0184194374838322,15805360551044.42
4,11,1.0184975566810643,15248214908768.695,1.0184194374075852,15805360549861.105
5,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
6,7,1.0184975567633137,15248214910000.074,1.0184194374832753,15805360551035.777
7,5,1.018497556753942,15248214909859.77,1.018419437473289,15805360550880.795
8,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
9,3,1.0184975567639176,15248214910009.115,1.0184194374838447,15805360551044.615
10,13,1.0184975567565815,15248214909899.285,1.0184194374765572,15805360550931.516
11,5,1.0184975567553927,15248214909881.486,1.0184194374763684,15805360550928.588
12,26,1.0184975565838323,15248214907313.008,1.0184194373837392,15805360549491.027
13,6,1.018497556761393,15248214909971.318,1.018419437481344,15805360551005.805
14,40,1.0184975217329262,15248214385550.238,1.0184194289347706,15805360418367.26
15,7,1.0184975567526742,15248214909840.787,1.0184194374985336,15805360551272.58
16,3,1.018497556763918,15248214910009.123,1.018419437483842,15805360551044.572
17,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
18,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
19,4,1.0184975567638668,15248214910008.355,1.018419437483792,15805360551043.797
20,7,1.0184975567114805,15248214909224.064,1.0184194374829252,15805360551030.344
21,3,1.0184975567639176,15248214910009.115,1.0184194374838447,15805360551044.615
22,7,1.0184975562402367,15248214902168.941,1.0184194369801027,15805360543226.793
23,26,1.0184975567564711,15248214909897.633,1.0184194374850664,15805360551063.574
24,1,1.0184975567639267,15248214910009.252,1.0184194374838504,15805360551044.703
25,3,1.0184975567639152,15248214910009.08,1.0184194374838322,15805360551044.42
26,7,1.0184975567343504,15248214909566.457,1.018419437517669,15805360551569.55
27,5,1.0184975567639105,15248214910009.01,1.018419437483848,15805360551044.666
28,3,1.0184975567639256,15248214910009.236,1.018419437483853,15805360551044.746
29,13,1.0184975549460982,15248214882794.027,1.0184194366712258,15805360538433.176
